"103168","What is the percentage of stoke shift loss in YAG phosphor?","Light-emitting_diode"
"107809","What was the fertility rate of Hyderabad according to a 2005 survey?","Hyderabad"
"106390","Who is the leader of Estonia's government?","Estonia"
"102843","In what year were religious plays banned in the Netherlands?","Late_Middle_Ages"
"102820","What is one of Boccaccio's works that helped promote the Italian language?","Late_Middle_Ages"
"103352","What frequently blankets San Diego in May and June?","San_Diego"
"106182","What are the roles of Covergence-divergence zones?","Memory"
"105492","How large will the two Queen Elizabeth ships be?","Aircraft_carrier"
"106240","What is a term to describe memory loss?","Memory"
"107968","What did a universitas have in common with similar guilds?","University"
"103437","Despite being a sanctuary city, what program does San Diego county participate in?","San_Diego"
"101185","How many lanes make up the Sui-Yu Expressway?","Sichuan"
"102436","In what year did the British give the Haud to Ethiopia?","Somalis"
"100680","Why could one judge reject another judges opinion?","Law_of_the_United_States"
"105144","Around which time was the mass membership party started?","Political_party"
