"101502","What book did Eisenhower's parents read every day?","Dwight_D._Eisenhower"
"101787","Who was the first ambassador to South Vietnam?","Dwight_D._Eisenhower"
"107940","The British revival of Georgian architecture in the 20th century is generally referred to as?","Georgian_architecture"
"103414","Why did many post-punk artists produce and release their own music?","Post-punk"
"104945","What grade did he fail?","Josip_Broz_Tito"
"103533","What formula did a lot of the artists emerging from the scene adhere to?","Post-punk"
"106313","Which birds migrate the furthest?","Bird_migration"
"100992","When did England become Great Britain?","British_Empire"
"101292","What religion did Germans adopt?","Germans"
"105207","What type of religious educaton did Tito attend as a child?","Josip_Broz_Tito"
"102660","What two world championships were held in Hyderabad in 2009?","Hyderabad"
"104456","When did Clark make his debut?","Chicago_Cubs"
"105789","Mariel Zagunis is notable for winning what?","University_of_Notre_Dame"
"107370","How many people protested at the Pyongyang torch route?","2008_Summer_Olympics_torch_relay"
"105641","In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?","University_of_Notre_Dame"
