"101783","What happens to infected plant cells?","Digestion"
"106168","Why did the US president say the Incursion of Florida was neccessary","Florida"
"102620","What is the fraction of the most heavily populated resonance in the Kuiper belt? ","Neptune"
"106333","What ancient festival was celebrated until the 5th century?","Religion_in_ancient_Rome"
"107538","What was the profession of George Marshall?","Universal_Studios"
"100258","What Sea borders Egypt to the east?","Egypt"
"102714","Where did the Ming armies retreat to?","Qing_dynasty"
"101894","In meters, what is the average height above sea level of the Miami area?","Miami"
"106088","What racial group was primarily involved in babershop a cappella in its earliest days?","A_cappella"
"101164","When was Build 7959 divulged?","Windows_8"
"107298","Which people would Mohammad's critics have compared him to at the time?","Quran"
"101671","John marched against who in January 1216?","John,_King_of_England"
"107785","What name did Armenia gain it's name from?","Armenia"
"104606","What was the minimum number of countries necessary to form parties? ","Genocide"
"104145","When was the construction of an airport in Saint Helena announced?","Saint_Helena"
